projection,pos,vol,width
row1_0,81(5),162(14),126(9)
row1_1,91(6),129(13),131(12)
row1_2,74(6),139(14),135(10)
row2_0,66(4),314(19),143(7)
row2_1,72(4),313(19),138(8)
row2_2,70(4),305(19),150(8)
row2_3,72(4),272(18),137(8)
row3_0,21(4),227(16),136(9)
row3_1,19(5),193(15),133(9)
row3_2,16(6),175(15),153(10)
row3_3,22(5),169(15),134(10)
row4_0,-12(8),126(14),172(18)
row4_1,-8(9),139(14),185(18)
row4_2,44(12),81(12),190(27)
row4_3,-14(15),59(11),167(34)
