projection,pos,vol,width
row1_5,2319(5),103(11),93(8)
row1_5,2321(5),113(13),100(9)
row1_6,2320(5),153(15),128(14)
row1_7,2330(6),102(12),120(13)
row2_0,2287(6),108(13),123(13)
row2_1,2298(7),99(12),117(12)
row2_2,2297(8),87(12),143(17)
row2_3,2297(11),63(11),146(25)
row2_4,2302(9),65(10),119(16)
row2_5,2310(9),48(10),101(16)
row2_6,2316(15),54(10),145(30)
row2_7,2306(18),36(12),1.5(5)e+02
row3_0,2357(17),41(12),1.0(6)e+02
row3_1,2302(13),91(15),1.9(4)e+02
row3_3,2304(18),61(18),1.8(5)e+02
row3_4,2338(32),20(2.1),1(9)e+01
