projection, theta_min, theta_max, theta_avg
row1_0, -1.28171, -7988.33, -1.48589
row1_1, -2.55938, -67.8197, -0.460723
row1_2, -67.7859, -2.22286, -427.549
row1_3, -1.23042, -426.8, -67.0386
row1_4, 2.03689, -2.34394, -66.5267
row1_5, -0.724766, 13.389, 11.2454
row1_6, 13.6101, 16.0556, 14.9446
row1_7, 16.2025, 18.0527, 17.1695
row2_0, 18.8731, 20.3749, 19.6441
row2_1, 20.4764, 21.8334, 21.169
row2_2, 21.9262, 23.1779, 22.5628
row2_3, 23.2642, 24.4345, 23.8578
row2_4, 24.5156, 25.6204, 25.0749
row2_5, 25.6972, 26.7476, 26.2282
row2_6, 26.8209, 27.8251, 27.328
row2_7, 27.8954, 28.8599, 28.382
row3_0, 29.263, 30.1821, 29.7262
row3_1, 30.2466, 31.1361, 30.6946
row3_2, 31.1986, 32.0615, 31.633
row3_3, 32.1223, 32.9612, 32.5444
row3_4, 33.0204, 33.8376, 33.4314
row3_5, 33.8952, 34.6926, 34.2961
row3_6, 34.7489, 35.528, 35.1405
row3_7, 35.583, 36.3453, 35.9661
row4_0, 36.6675, 37.4092, 37.0401
row4_1, 37.4617, 38.1893, 37.8271
row4_2, 38.2408, 38.9552, 38.5995
row4_3, 39.0058, 39.7079, 39.3582
row4_4, 39.7576, 40.448, 40.1041
row4_5, 40.497, 41.1765, 40.838
row4_6, 41.2247, 41.894, 41.5605
row4_7, 41.9415, 42.6011, 42.2724
