projection,pos,vol,width
row1_0,-63.0(2.8),440(21),129(5)
row1_1,-44.9(2.9),399(21),126(5)
row1_2,-23.1(3.3),357(20),130(5)
row1_3,-1.6(3.5),290(18),127(6)
row1_4,15(4),291(18),149(8)
row1_5,52(5),202(15),134(8)
row1_6,57(4),196(15),125(9)
row1_7,81(5),191(15),147(11)
row2_0,6(5),155(13),128(10)
row2_1,24(6),114(12),124(13)
row2_2,18(7),110(12),149(14)
row2_3,27(9),111(12),176(21)
row2_4,36(8),52(8),103(19)
row2_5,15(10),82(11),163(17)
row2_6,20(16),72(11),204(26)
row2_7,15(19),53(10),1.8(5)e+02
row3_0,21(8),80(10),137(16)
row3_1,18(17),50(10),1.8(4)e+02
row3_2,-3(16),35(9),1.4(5)e+02
row3_3,-71(21),45(10),190(35)
row3_5,-42(19),19(6),1.1(4)e+02
row3_6,-78(34),30(8),2.3(6)e+02
row3_7,-6(6)e+01,23(9),3.0(1.3)e+02
row4_0,-47(19),15(6),1.0(5)e+02
