projection, theta_min, theta_max, theta_avg
row1_0, -2949.47, -429.02, 2.73755
row1_1, 2811.01, 12.8947, -1.06719
row1_2, 13.1394, 15.6995, 14.5578
row1_3, 15.849, 17.7141, 16.8273
row1_4, 17.8349, 19.4083, 18.6467
row1_5, 19.5136, 20.9119, 20.2293
row1_6, 21.007, 22.2838, 21.6575
row1_7, 22.3715, 23.5574, 22.9738
row2_0, 24.1242, 25.2135, 24.6758
row2_1, 25.2892, 26.324, 25.8124
row2_2, 26.3962, 27.3849, 26.8955
row2_3, 27.454, 28.4031, 27.9329
row2_4, 28.4696, 29.384, 28.9306
row2_5, 29.4482, 30.332, 29.8934
row2_6, 30.3941, 31.2506, 30.8254
row2_7, 31.3109, 32.1429, 31.7296
row3_0, 32.4929, 33.2957, 32.8967
row3_1, 33.3523, 34.1354, 33.746
row3_2, 34.1906, 34.9556, 34.5752
row3_3, 35.0097, 35.758, 35.3857
row3_4, 35.8109, 36.5438, 36.1791
row3_5, 36.5957, 37.3143, 36.9566
row3_6, 37.3651, 38.0704, 37.7192
row3_7, 38.1203, 38.813, 38.4681
row4_0, 39.1065, 39.7839, 39.4465
row4_1, 39.8318, 40.4984, 40.1663
row4_2, 40.5456, 41.202, 40.875
row4_3, 41.2486, 41.8953, 41.573
row4_4, 41.9412, 42.5789, 42.2611
row4_5, 42.6242, 43.2533, 42.9397
row4_6, 43.2979, 43.9189, 43.6093
row4_7, 43.963, 44.5762, 44.2704
