param_a param_b Ex m m_err c c_err chi2_0_ndf
ArrayDistance_-122 Mfield_2.035 2315.1 -0.130356 0.0408907 -55.4308 13.8382 10.9411
ArrayDistance_-124 Mfield_2.045 0 0.0405317 0.0134303 -26.842 5.68354 90.1595
ArrayDistance_-124 Mfield_2.045 1016.93 -0.0516006 0.014312 -60.0332 4.9263 129.618
ArrayDistance_-124 Mfield_2.045 2315.1 -0.0389217 0.0410085 -66.3979 13.9061 69.433
ArrayDistance_-124 Mfield_2.04 0 0.00433274 0.0136093 -29.7849 5.7789 51.2891
ArrayDistance_-124 Mfield_2.04 1016.93 -0.0699517 0.0144774 -54.8736 4.96674 74.0618
ArrayDistance_-124 Mfield_2.04 2315.1 -0.0606866 0.0395213 -65.3896 13.4556 55.9403
ArrayDistance_-121 Mfield_2.045 0 0.0160744 0.012978 -3.16276 5.46908 15.2588
ArrayDistance_-121 Mfield_2.045 1016.93 -0.0488457 0.0140215 -24.6961 4.79426 15.397
ArrayDistance_-121 Mfield_2.045 2315.1 -0.0354381 0.0409907 -34.6991 13.847 17.5169
ArrayDistance_-122 Mfield_2.02 0 -0.149147 0.0136409 -22.8285 5.80252 80.4298
ArrayDistance_-122 Mfield_2.02 1016.93 -0.22218 0.0146044 -48.2793 4.98146 71.1892
ArrayDistance_-126 Mfield_2.02 0 -0.121513 0.0135015 -55.6758 5.70098 16.8598
ArrayDistance_-126 Mfield_2.02 1016.93 -0.205721 0.0146193 -85.7213 5.01282 48.8264
ArrayDistance_-126 Mfield_2.02 2315.1 -0.213624 0.0429727 -97.8821 14.2645 26.2016
ArrayDistance_-125 Mfield_2.02 0 -0.137254 0.0135898 -51.9802 5.76893 17.1568
ArrayDistance_-125 Mfield_2.02 1016.93 -0.201247 0.0140501 -72.8638 4.81598 32.9103
ArrayDistance_-125 Mfield_2.02 2315.1 -0.237418 0.0434282 -95.5878 14.4549 15.9571
ArrayDistance_-124 Mfield_2.02 0 -0.144287 0.0132606 -42.2941 5.60295 29.1763
ArrayDistance_-124 Mfield_2.02 1016.93 -0.20859 0.0146193 -64.5185 5.01744 30.7078
ArrayDistance_-124 Mfield_2.02 2315.1 -0.2916 0.0427182 -99.0403 14.3669 15.9799
ArrayDistance_-121 Mfield_2.02 0 -0.154361 0.0137598 -13.6646 5.86713 122.276
ArrayDistance_-121 Mfield_2.02 1016.93 -0.210314 0.0145384 -32.7139 4.95665 114.687
ArrayDistance_-121 Mfield_2.02 2315.1 -0.28344 0.0506208 -67.2953 16.5555 20.2895
ArrayDistance_-120 Mfield_2.02 0 -0.159348 0.0140133 -4.18449 5.95238 167.388
ArrayDistance_-120 Mfield_2.02 1016.93 -0.218718 0.0144774 -24.9299 4.96674 173.164
ArrayDistance_-120 Mfield_2.03 0 -0.075347 0.0138068 6.11313 5.87114 68.3252
ArrayDistance_-120 Mfield_2.03 1016.93 -0.15527 0.0142176 -20.8564 4.85669 79.305
ArrayDistance_-120 Mfield_2.03 2315.1 -0.190346 0.0452656 -43.1091 15.1614 15.578
ArrayDistance_-120 Mfield_2.045 0 0.0245422 0.0136886 12.8434 5.82882 9.78287
ArrayDistance_-120 Mfield_2.045 1016.93 -0.0632235 0.0144774 -18.3637 4.96221 11.8448
ArrayDistance_-120 Mfield_2.045 2315.1 -0.0753748 0.0431039 -33.0209 14.7804 7.62103
ArrayDistance_-120 Mfield_2.025 0 -0.127078 0.0133037 -3.90098 5.64639 114.266
ArrayDistance_-120 Mfield_2.025 1016.93 -0.184356 0.0144774 -22.5138 4.96221 122.98
ArrayDistance_-120 Mfield_2.035 0 -0.0473242 0.0137099 5.63672 5.82593 34.8379
ArrayDistance_-120 Mfield_2.035 1016.93 -0.120068 0.0143809 -19.4977 4.92293 43.1514
ArrayDistance_-120 Mfield_2.035 2315.1 -0.00443083 0.0352718 16.1701 11.6896 22.3402
ArrayDistance_-120 Mfield_2.04 0 -0.00663006 0.0141158 12.845 6.06083 19.2761
ArrayDistance_-120 Mfield_2.04 1016.93 -0.0846192 0.0144763 -16.4278 4.98839 21.199
ArrayDistance_-121 Mfield_2.05 0 0.061318 0.0137099 4.66338 5.82593 29.7541
ArrayDistance_-121 Mfield_2.05 1016.93 -0.0146599 0.0144846 -22.7709 4.99468 30.8079
ArrayDistance_-121 Mfield_2.05 2315.1 -0.0128086 0.0408907 -34.2777 13.8382 26.7181
ArrayDistance_-119 Mfield_2.04 0 -0.0202614 0.0130698 16.4872 5.52511 33.5046
ArrayDistance_-119 Mfield_2.04 1016.93 -0.0945784 0.0144774 -8.79097 4.96221 47.4516
ArrayDistance_-119 Mfield_2.04 2315.1 -0.151971 0.0450605 -36.153 15.2022 12.1273
ArrayDistance_-119 Mfield_2.035 0 -0.0503017 0.0136258 16.6485 5.80957 64.7491
ArrayDistance_-119 Mfield_2.035 1016.93 -0.127791 0.0144774 -9.95028 4.96674 82.0456
ArrayDistance_-119 Mfield_2.035 2315.1 -11.0674 0.0300938 -3918.05 9.00945 47773.4
ArrayDistance_-120 Mfield_2.05 0 0.0656164 0.0137882 17.7117 5.89037 15.0055
ArrayDistance_-120 Mfield_2.05 1016.93 -0.0315797 0.0146264 -17.5576 5.02431 11.7677
ArrayDistance_-120 Mfield_2.05 2315.1 0.00525314 0.0410142 -17.7998 13.8234 13.7018
ArrayDistance_-119 Mfield_2.05 0 0.055954 0.013444 25.4053 5.74072 11.7466
ArrayDistance_-119 Mfield_2.05 1016.93 -0.0300649 0.0146534 -4.89238 5.03304 12.6344
ArrayDistance_-119 Mfield_2.05 2315.1 -9.24447 0.0320841 -3310.37 10.0219 30572.4
