projection,pos,vol,width
row3_0,2.41(7)e+03,19(12),1.7(1.1)e+02
row3_1,2334(14),16(5),85(28)
row3_4,2346(14),15(5),85(24)
row3_5,2347(7),11(4),39(15)
row3_6,2350(8),8(4),38(17)
row3_7,2343(12),18(5),80(23)
row4_1,2290(27),11(8),8(7)e+01
row4_3,2.35(7)e+03,17(8),2.8(1.6)e+02
row4_4,2.36(6)e+03,13(7),2.2(1.1)e+02
row4_6,2331(22),17(6),1.2(5)e+02
