projection,pos,vol,width
#row2_0,1065.1(1.4),1950(4),138.0(2.4)
row2_1,1093.4(2.8),453(22),127(6)
row2_2,1103(5),264(17),158(9)
row2_3,1100(4),251(17),131(8)
row3_0,1054(4),358(20),150(8)
row3_1,1062.8(3.5),371(21),135(6)
row3_2,1067.7(3.5),424(21),154(7)
row3_3,1070.3(3.3),427(22),142(6)
row4_0,1056(5),369(20),176(8)
row4_1,1052(5),347(20),198(10)
row4_2,1063(7),258(18),204(14)
row4_3,1060(8),201(16),199(14)
