projection, Total, On, Eff
row1_0, 0, 0, 1
row1_1, 0, 0, 1
row1_2, 0, 0, 1
row2_0, 0, 0, 1
row2_1, 0, 0, 1
row2_2, 0, 0, 1
row2_3, 0, 0, 1
row3_0, 0, 0, 1
row3_1, 0, 0, 1
row3_2, 0, 0, 1
row3_3, 0, 0, 1
row4_0, 0, 0, 1
row4_1, 0, 0, 1
row4_2, 0, 0, 1
row4_3, 0, 0, 1
