projection, theta_min, theta_max, theta_avg
row1_0, -2.02618, 2.49143, 0.736397
row1_1, -67.9878, -67.5418, 2.56379
row1_2, -359.943, 11.3309, -67.2863
row1_3, 11.7359, 14.8433, 13.5648
row1_4, 15.0058, 16.98, 16.0511
row1_5, 17.1056, 18.7263, 17.9448
row1_6, 18.8338, 20.2565, 19.5635
row1_7, 20.3529, 21.8799, 21.1344
row2_0, 22.4813, 23.6283, 23.0634
row2_1, 23.7077, 24.788, 24.2548
row2_2, 24.8631, 25.8884, 25.3817
row2_3, 25.9599, 26.9389, 26.4544
row2_4, 27.0074, 27.9466, 27.4813
row2_5, 28.0125, 28.9169, 28.4685
row2_6, 28.9804, 29.8544, 29.4208
row2_7, 29.9157, 30.9224, 30.4233
row3_0, 31.2762, 32.0867, 31.684
row3_1, 32.1438, 32.9331, 32.5408
row3_2, 32.9887, 33.7587, 33.3758
row3_3, 33.8131, 34.5653, 34.1912
row3_4, 34.6185, 35.3543, 34.9882
row3_5, 35.4063, 36.1271, 35.7684
row3_6, 36.1781, 36.8847, 36.5329
row3_7, 36.9347, 37.7601, 37.3495
row4_0, 38.0529, 38.728, 38.3918
row4_1, 38.7759, 39.44, 39.1092
row4_2, 39.4871, 40.1407, 39.8151
row4_3, 40.187, 40.8307, 40.5099
row4_4, 40.8763, 41.5107, 41.1946
row4_5, 41.5556, 42.1812, 41.8694
row4_6, 42.2256, 42.8427, 42.5351
row4_7, 42.8864, 43.7005, 43.2951
