projection, theta_min, theta_max, theta_avg
row1_0, 2.67915, -2.49463, -2.04707
row1_1, -2.29915, 0.296772, -0.969555
row1_2, 0.472857, 2.82315, 1.67372
row1_3, 2.98336, -65.1456, -0.137993
row1_4, -65.111, -1.59048, -0.0272012
row1_5, 295.409, 2.65464, 1.31205
row1_6, 295.93, -423.58, -63.8252
row1_7, 296.455, 1.36573, 0.766255
row2_0, -1260.86, 1.48382, -0.60258
row2_1, 360.473, 13.818, 12.1281
row2_2, 14.0159, 16.3021, 15.2467
row2_3, 16.443, 18.235, 17.3762
row2_4, 18.3527, 19.8981, 19.1475
row2_5, 20.0023, 21.3903, 20.7114
row2_6, 21.485, 22.7606, 22.1342
row2_7, 22.8484, 24.2586, 23.5659
row3_0, 24.7428, 25.8332, 25.2946
row3_1, 25.9091, 26.9475, 26.4339
row3_2, 27.0199, 28.0141, 27.5218
row3_3, 28.0837, 29.0394, 28.5658
row3_4, 29.1065, 30.0285, 29.5712
row3_5, 30.0933, 30.9856, 30.5427
row3_6, 31.0483, 31.9138, 31.484
row3_7, 31.9747, 32.9753, 32.4788
row4_0, 33.3279, 34.1368, 33.7347
row4_1, 34.1939, 34.9837, 34.5909
row4_2, 35.0395, 35.8116, 35.4275
row4_3, 35.8662, 36.622, 36.2459
row4_4, 36.6755, 37.4163, 37.0476
row4_5, 37.4686, 38.1954, 37.8335
row4_6, 38.2468, 38.9604, 38.6051
row4_7, 39.0109, 39.9474, 39.4816
