projection, theta_min, theta_max, theta_avg
row1_0, 2.21695, -2947.19, -1.21382
row1_1, -427.158, 1.64657, -426.925
row1_2, 2.71983, -786.19, -66.4241
row1_3, -66.1562, -65.6861, -65.9213
row1_4, -65.6524, -0.0467921, 294.583
row1_5, 0.723141, -64.6726, -64.9099
row1_6, 295.361, 0.685968, -722.9
row1_7, -64.1287, 14.1366, 12.2255
row2_0, 15.3341, 17.2906, 16.365
row2_1, 17.4162, 19.0443, 18.2578
row2_2, 19.1529, 20.5904, 19.8895
row2_3, 20.688, 21.9959, 21.3548
row2_4, 22.0856, 23.2973, 22.7013
row2_5, 23.3811, 24.5173, 23.957
row2_6, 24.5961, 25.6712, 25.1402
row2_7, 25.746, 26.9617, 26.3616
row3_0, 27.3844, 28.3446, 27.8689
row3_1, 28.4119, 29.3367, 28.8781
row3_2, 29.4015, 30.2952, 29.8518
row3_3, 30.3581, 31.2239, 30.7941
row3_4, 31.2849, 32.1257, 31.7081
row3_5, 32.1849, 33.0032, 32.5966
row3_6, 33.0609, 33.8585, 33.462
row3_7, 33.9148, 34.8412, 34.381
row4_0, 35.1687, 35.9216, 35.547
row4_1, 35.9748, 36.7124, 36.3453
row4_2, 36.7645, 37.4877, 37.1277
row4_3, 37.5388, 38.2486, 37.8952
row4_4, 38.2989, 38.9961, 38.6489
row4_5, 39.0454, 39.731, 39.3895
row4_6, 39.7796, 40.454, 40.118
row4_7, 40.5018, 41.3889, 40.9475
