projection, theta_min, theta_max, theta_avg
row1_0, -66.3328, -65.8345, -66.0839
row1_1, -65.7988, -358.4, -65.5489
row1_2, -177.87, -1504.76, -361.946
row1_3, -784.724, -64.219, -362.163
row1_4, -14824.2, -63.6756, -63.9295
row1_5, -541.904, -0.595602, -1.94458
row1_6, -0.408529, 2.08479, 0.867031
row1_7, 2.25434, -61.9302, -62.2376
row2_0, -2.04547, 1.45506, -0.582916
row2_1, -0.135259, -60.5934, 2.04164
row2_2, -60.556, -0.783269, -719.706
row2_3, 0.0657942, -179.646, -419.73
row2_4, -0.535753, -58.8966, -59.1625
row2_5, -360.135, 13.7554, 12.0317
row2_6, 13.9575, 16.2986, 15.2173
row2_7, 16.4428, 18.6018, 17.5736
row3_0, 19.2929, 20.7873, 20.0586
row3_1, 20.8887, 22.2486, 21.582
row3_2, 22.3417, 23.6015, 22.9818
row3_3, 23.6886, 24.8699, 24.2875
row3_4, 24.9519, 26.0693, 25.5174
row3_5, 26.1472, 27.2114, 26.685
row3_6, 27.2858, 28.3044, 27.8
row3_7, 28.3757, 29.5394, 28.9636
row4_0, 29.9464, 30.875, 30.4143
row4_1, 30.9403, 31.8399, 31.3933
row4_2, 31.9032, 32.7768, 32.3429
row4_3, 32.8384, 33.6884, 33.266
row4_4, 33.7484, 34.577, 34.1651
row4_5, 34.6354, 35.4444, 35.042
row4_6, 35.5015, 36.2924, 35.899
row4_7, 36.3483, 37.3816, 36.8682
