projection, theta_min, theta_max, theta_avg
row1_0, -68.8886, 13.4557, 11.5464
row1_1, 13.6605, 15.9493, 14.9058
row1_2, 16.0875, 17.8321, 16.9986
row1_3, 17.9461, 19.4369, 18.7139
row1_4, 19.5372, 20.8704, 20.2189
row1_5, 20.9613, 22.1835, 21.5835
row1_6, 22.2675, 23.4053, 22.8451
row1_7, 23.4841, 24.7545, 24.1291
row2_0, 25.2654, 26.2536, 25.7648
row2_1, 26.3226, 27.2685, 26.8001
row2_2, 27.3347, 28.2439, 27.7934
row2_3, 28.3077, 29.1849, 28.7498
row2_4, 29.2465, 30.0952, 29.674
row2_5, 30.1549, 30.978, 30.5693
row2_6, 31.036, 31.8363, 31.4387
row2_7, 31.8926, 32.8196, 32.3593
row3_0, 33.1465, 33.8976, 33.5241
row3_1, 33.9506, 34.6849, 34.3196
row3_2, 34.7367, 35.4554, 35.0978
row3_3, 35.5063, 36.2105, 35.86
row3_4, 36.2604, 36.9512, 36.6073
row3_5, 37.0001, 37.6785, 37.3407
row3_6, 37.7265, 38.393, 38.0611
row3_7, 38.4402, 39.2206, 38.8322
row4_0, 39.4978, 40.1379, 39.819
row4_1, 40.1833, 40.8139, 40.4997
row4_2, 40.8587, 41.4803, 41.1705
row4_3, 41.5244, 42.1374, 41.8318
row4_4, 42.181, 42.786, 42.4844
row4_5, 42.8289, 43.4262, 43.1284
row4_6, 43.4686, 44.0586, 43.7645
row4_7, 44.1005, 44.8798, 44.4916
