projection, theta_min, theta_max, theta_avg
row1_0, 18.0296, 19.4802, 18.776
row1_1, 19.5778, 20.8785, 20.2426
row1_2, 20.9673, 22.1616, 21.575
row1_3, 22.2437, 23.3569, 22.8087
row1_4, 23.434, 24.4825, 23.9651
row1_5, 24.5554, 25.5508, 25.0587
row1_6, 25.6201, 26.5706, 26.1002
row1_7, 26.6371, 27.7205, 27.1847
row2_0, 28.1615, 29.0222, 28.5952
row2_1, 29.0826, 29.9156, 29.5022
row2_2, 29.9742, 30.7823, 30.381
row2_3, 30.8392, 31.6249, 31.2345
row2_4, 31.6803, 32.4456, 32.0652
row2_5, 32.4996, 33.2462, 32.875
row2_6, 33.2989, 34.0286, 33.6657
row2_7, 34.08, 34.9294, 34.5072
row3_0, 35.2299, 35.922, 35.5775
row3_1, 35.9709, 36.6498, 36.3118
row3_2, 36.6978, 37.3644, 37.0325
row3_3, 37.4117, 38.0667, 37.7405
row3_4, 38.1132, 38.7575, 38.4366
row3_5, 38.8031, 39.4373, 39.1214
row3_6, 39.4823, 40.1068, 39.7956
row3_7, 40.1511, 40.8839, 40.519
row4_0, 41.1446, 41.7472, 41.4469
row4_1, 41.79, 42.3848, 42.0883
row4_2, 42.427, 43.0142, 42.7214
row4_3, 43.0559, 43.6358, 43.3466
row4_4, 43.677, 44.2502, 43.9644
row4_5, 44.2909, 44.8575, 44.5749
row4_6, 44.8978, 45.4581, 45.1787
row4_7, 45.4979, 46.239, 45.8697
