projection, theta_min, theta_max, theta_avg
row1_0, 0.371112, 2.70033, 1.56124
row1_1, 2.85915, -66.5538, -66.7889
row1_2, -66.5201, -66.0485, -1.92822
row1_3, 2.84443, 2.69947, 1.02815
row1_4, -1.50542, -1.09577, -65.2699
row1_5, -424.998, -0.786771, -2.26891
row1_6, -0.530632, -64.0067, 295.753
row1_7, 2.68986, 11.5751, -63.6855
row2_0, 13.4806, 15.9045, 14.803
row2_1, 16.0501, 17.8848, 17.009
row2_2, 18.0046, 19.569, 18.8106
row2_3, 19.674, 21.0713, 20.3886
row2_4, 21.1665, 22.4462, 21.8181
row2_5, 22.5342, 23.7248, 23.1386
row2_6, 23.8072, 24.9273, 24.3747
row2_7, 25.005, 26.2657, 25.644
row3_0, 26.7028, 27.6939, 27.2032
row3_1, 27.7633, 28.7154, 28.2436
row3_2, 28.7821, 29.7003, 29.2449
row3_3, 29.7648, 30.6527, 30.2121
row3_4, 30.7152, 31.5762, 31.1487
row3_5, 31.6368, 32.4735, 32.0578
row3_6, 32.5325, 33.3471, 32.9422
row3_7, 33.4046, 34.3497, 33.8803
row4_0, 34.6835, 35.4507, 35.0691
row4_1, 35.5049, 36.2558, 35.8822
row4_2, 36.3088, 37.0445, 36.6784
row4_3, 37.0966, 37.8181, 37.4589
row4_4, 37.8692, 38.5777, 38.225
row4_5, 38.6278, 39.324, 38.9773
row4_6, 39.3733, 40.0579, 39.7169
row4_7, 40.1064, 41.0063, 40.5585
