projection, theta_min, theta_max, theta_avg
row1_0, -66.3212, -65.8226, -66.0721
row1_1, -65.7869, -425.286, -65.5368
row1_2, -425.25, -424.747, -424.999
row1_3, -784.711, -424.206, 1735.54
row1_4, -64.1699, -423.662, -0.391748
row1_5, -63.626, -0.759022, -2.11696
row1_6, -0.570742, 1.9379, 0.712834
row1_7, 2.10844, -61.9159, 1.07471
row2_0, -1141.66, 1799.56, -0.672375
row2_1, 3.00831, -60.5782, -2.50553
row2_2, -60.5407, -1.5385, -420.278
row2_3, -0.621517, 2.77042, 898.481
row2_4, -59.4117, 2.87303, 1800.09
row2_5, -58.8421, 13.5872, 11.7698
row2_6, 13.7954, 16.1813, 15.0836
row2_7, 16.3273, 18.5074, 17.4705
row3_0, 19.2035, 20.707, 19.9742
row3_1, 20.809, 22.1754, 21.5057
row3_2, 22.269, 23.534, 22.9118
row3_3, 23.6214, 24.8068, 24.2224
row3_4, 24.8891, 26.01, 25.4564
row3_5, 26.0881, 27.1553, 26.6274
row3_6, 27.2299, 28.2511, 27.7454
row3_7, 28.3226, 29.489, 28.9119
row4_0, 29.8969, 30.8274, 30.3658
row4_1, 30.8929, 31.7943, 31.3468
row4_2, 31.8577, 32.7329, 32.2982
row4_3, 32.7946, 33.646, 33.2229
row4_4, 33.7061, 34.5361, 34.1235
row4_5, 34.5946, 35.4049, 35.0019
row4_6, 35.4621, 36.2541, 35.8601
row4_7, 36.3101, 37.3449, 36.8308
