projection, theta_min, theta_max, theta_avg
row1_0, -68.1903, -67.7389, -0.617449
row1_1, -67.7066, -0.607869, 1080.94
row1_2, 0.198241, 1.94564, 0.992182
row1_3, -66.7341, -538.463, -66.5062
row1_4, 1.88816, 13.2895, 11.1926
row1_5, 13.505, 15.8854, 14.8044
row1_6, 16.028, 17.8268, 16.9683
row1_7, 17.9441, 19.7523, 18.8801
row2_0, 20.4445, 21.7426, 21.1065
row2_1, 21.8315, 23.0323, 22.4418
row2_2, 23.1152, 24.24, 23.6856
row2_3, 24.318, 25.3814, 24.8562
row2_4, 25.4554, 26.4675, 25.967
row2_5, 26.5383, 27.5068, 27.0272
row2_6, 27.5746, 28.5055, 28.0442
row2_7, 28.5707, 29.6379, 29.1094
row3_0, 30.0118, 30.8666, 30.4423
row3_1, 30.9268, 31.7567, 31.3445
row3_2, 31.8151, 32.6225, 32.2213
row3_3, 32.6795, 33.4664, 33.0753
row3_4, 33.522, 34.2901, 33.9082
row3_5, 34.3444, 35.0954, 34.7218
row3_6, 35.1485, 35.8835, 35.5177
row3_7, 35.9354, 36.7926, 36.3664
row4_0, 37.0963, 37.7961, 37.4477
row4_1, 37.8456, 38.5331, 38.1908
row4_2, 38.5817, 39.2575, 38.9209
row4_3, 39.3054, 39.9702, 39.639
row4_4, 40.0173, 40.6719, 40.3458
row4_5, 40.7182, 41.3631, 41.0418
row4_6, 41.4088, 42.0445, 41.7277
row4_7, 42.0896, 42.9272, 42.5101
