projection,pos,vol,width
row2_1,1060.0000000003952(0),nan(0),nan(nan)
row2_2,1060.0000000007904(0),nan(0),nan(nan)
row2_3,1060.0000000011855(0),nan(0),nan(nan)
row3_0,1060.0000000015807(0),nan(0),nan(nan)
row3_1,1060.0000000019759(0),nan(0),nan(nan)
row3_2,1060.000000002371(0),nan(0),nan(nan)
row3_3,1060.0000000027662(0),nan(0),nan(nan)
row4_0,1060.0000000031614(0),nan(0),nan(nan)
row4_1,1060.0000000035566(0),nan(0),nan(nan)
row4_2,1060.0000000039518(0),nan(0),nan(nan)
row4_3,1060.000000004347(0),nan(0),nan(nan)
