projection,pos,vol,width
row2_1,1080.3(3.0),420(22),132(7)
row2_2,1080(5),221(16),140(8)
row2_3,1069(4),245(17),133(9)
row3_0,1019(4),343(20),151(9)
row3_1,1022(4),390(21),150(8)
row3_2,1021.1(3.4),399(22),146(7)
row3_3,1021.8(3.2),420(22),144(6)
row4_0,1007(5),346(21),179(8)
row4_1,998(5),312(20),195(11)
row4_2,1000(7),248(18),193(13)
row4_3,995(9),168(16),195(17)
