projection, theta_min, theta_max, theta_avg
row1_0, -71.1128, -70.5094, -70.8114
row1_1, -70.4691, -69.8632, -70.1665
row1_2, -69.8228, -1149.21, -69.5189
row2_0, -789.024, 2.68158, 17282.7
row2_1, -1867.72, 2.52472, -0.859239
row2_2, 2.72846, 361.207, -65.7505
row2_3, -65.0608, 3.32776, -64.4092
#row3_0, -720.281, 14.955, 0.906226
row3_1, 15.1749, 20.1201, 17.9492
row3_2, 20.2482, 23.7773, 22.1057
row3_3, 23.8803, 26.8412, 25.4111
row4_0, 27.2572, 29.8492, 28.5849
row4_1, 29.9289, 32.297, 31.136
row4_2, 32.3705, 34.571, 33.4886
row4_3, 34.6397, 36.7084, 35.6883
