projection, theta_min, theta_max, theta_avg
row1_0, -71.9974, -2.59319, 0.671771
row1_1, -2.35419, 0.984996, -0.629785
row1_2, 1.19252, 2.58461, 2.69881
row2_0, -70.0232, 0.0976442, -69.4265
row2_1, 2.46525, 1.95543, -788.187
#row2_2, -1507.54, 15.655, 1013.06
row2_3, 15.8478, 20.3897, 18.363
row3_0, 20.9463, 24.2094, 22.6545
row3_1, 24.3054, 27.0869, 25.7401
row3_2, 27.1712, 29.6545, 28.4424
row3_3, 29.7309, 32.0047, 30.8895
row4_0, 32.3344, 34.4345, 33.4008
row4_1, 34.5001, 36.4786, 35.5026
row4_2, 36.5408, 38.4199, 37.4913
row4_3, 38.4791, 40.2751, 39.3863
