projection, theta_min, theta_max, theta_avg
row1_0, 722.35, -360.002, 287.393
row1_1, 647.698, 2.57509, 1.37242
row1_2, 2.88033, -71.1844, 0.30292
row2_0, -2.68781, 18.0379, 15.5289
row2_1, 18.1775, 21.8627, 20.1484
row2_2, 21.967, 24.9255, 23.5056
row2_3, 25.0139, 27.5874, 26.337
row3_0, 27.9534, 30.2516, 29.127
row3_1, 30.3226, 32.4449, 31.4023
row3_2, 32.511, 34.4974, 33.5188
row3_3, 34.5596, 36.4368, 35.5101
row4_0, 36.7128, 38.4905, 37.6114
row4_1, 38.5466, 40.2497, 39.4065
row4_2, 40.3036, 41.9427, 41.1304
row4_3, 41.9947, 43.5781, 42.7927
