projection, theta_min, theta_max, theta_avg
row1_0, -70.7556, -70.1389, -70.4476
row1_1, -70.0977, -69.4783, -69.7883
row1_2, -69.4369, -68.8148, -69.1262
row2_0, -68.6197, -427.324, -67.9733
row2_1, -360.381, -65.9727, 293.371
row2_2, 1798.52, 3.24983, -0.0866027
row2_3, 3.45118, 2.35768, 1.35198
row3_0, -3.04584, -3661.66, 0.21261
row3_1, -61.6201, 16.0742, 11.6787
row3_2, 16.2637, 20.8621, 18.7896
row3_3, 20.9861, 24.4337, 22.7927
row4_0, 24.9046, 27.7902, 26.392
row4_1, 27.8777, 30.4589, 29.1986
row4_2, 30.5384, 32.9046, 31.7438
row4_3, 32.9781, 35.1816, 34.0972
