projection, theta_min, theta_max, theta_avg
row1_0, -71.2906, -70.6939, -70.9925
row1_1, -70.654, 1729.95, -70.3547
row1_2, -430.015, -789.413, -357.483
row2_0, 20450.8, -1.26744, -68.5998
row2_1, -1.03341, -426.667, 2.34789
row2_2, -66.6262, -425.349, -1.46901
row2_3, -65.3076, -64.0166, 2.02552
#row3_0, -1.96902, 17.4914, 14.5312
row3_1, 17.65, 21.7442, 19.856
row3_2, 21.8584, 25.0803, 23.5381
row3_3, 25.176, 27.957, 26.6076
row4_0, 28.3513, 30.8232, 29.6145
row4_1, 30.8995, 33.1761, 32.0582
row4_2, 33.247, 35.3741, 34.3265
row4_3, 35.4406, 37.4483, 36.4574
