projection,pos,vol,width
row2_1,1014.0(3.0),429(22),135(6)
row2_2,1021(5),216(16),141(10)
row2_3,1017(4),250(17),140(10)
row3_0,967(4),353(20),156(8)
row3_1,975(4),389(21),151(7)
row3_2,976.6(3.5),385(21),146(7)
row3_3,971.9(3.2),396(22),135(6)
row4_0,966(5),342(21),180(9)
row4_1,963(6),314(21),197(11)
row4_2,965(7),233(18),192(12)
row4_3,960(9),165(16),198(17)
