projection,pos,vol,width
row1_0,71(5),230(15),166(12)
row1_1,86(6),139(13),140(13)
row1_2,81(5),160(13),134(9)
row2_0,85(4),322(19),141(7)
row2_1,91.2(3.4),322(19),131(7)
row2_2,99(4),306(19),145(7)
row2_3,101(4),273(17),129(6)
row3_0,58(4),233(16),135(8)
row3_1,63(4),196(15),129(10)
row3_2,61(6),180(14),156(10)
row3_3,75(5),192(15),156(10)
row4_0,52(8),128(13),157(14)
row4_1,64(8),134(13),174(16)
row4_2,74(17),109(13),2.6(4)e+02
row4_3,85(23),85(12),2.5(5)e+02
