projection,pos,vol,width
row2_1,1015.2(3.1),422(22),131(6)
row2_2,1027(5),229(16),144(9)
row2_3,1027(4),257(17),137(8)
row3_0,986(4),342(20),149(9)
row3_1,1000(4),387(21),151(7)
row3_2,1006.2(3.4),395(21),145(7)
row3_3,1015.2(3.3),421(22),146(6)
row4_0,1012(5),340(21),177(9)
row4_1,1013(5),316(20),187(10)
row4_2,1031(7),224(17),185(13)
row4_3,1020(8),163(16),194(18)
