projection, theta_min, theta_max, theta_avg
row1_0, -71.1128, -70.5094, -70.8114
row1_1, -70.4691, -69.8632, -70.1665
row1_2, -69.8228, -1149.21, -69.5189
row2_0, -789.024, 651.588, -428.718
row2_1, 291.629, 2.68158, 291.936
row2_2, -1867.72, -0.976322, -2.79778
row2_3, -0.742688, 2.52472, 0.943008
row2_4, 2.72846, -65.7714, -66.0836
row2_5, -65.7297, 361.207, 1.94823
row2_6, -65.0608, -64.4303, -64.746
row2_7, -64.3882, 3.32776, 2.83272
row3_0, -720.281, -2.55484, 3.43193
row3_1, -2.99556, 14.955, 12.8853
row3_2, 15.1749, 17.8719, 16.6324
row3_3, 18.026, 20.1201, 19.1177
row3_4, 20.2482, 22.0491, 21.1749
row3_5, 22.1622, 23.7773, 22.9877
row3_6, 23.8803, 25.3634, 24.6351
row3_7, 25.4586, 26.8412, 26.1603
row4_0, 27.2572, 28.5431, 27.9082
row4_1, 28.6265, 29.8492, 29.2447
row4_2, 29.9289, 31.0978, 30.5191
row4_3, 31.1742, 32.297, 31.7406
row4_4, 32.3705, 33.453, 32.9162
row4_5, 33.524, 34.571, 34.0514
row4_6, 34.6397, 35.655, 35.1508
row4_7, 35.7216, 36.7084, 36.2182
