projection, theta_min, theta_max, theta_avg
row1_0, -71.9974, -2.59319, 0.671771
row1_1, -2.35419, 0.984996, -0.629785
row1_2, 1.19252, 2.58461, 2.69881
row2_0, -70.0232, 3.11835, 1370.27
row2_1, -0.928546, 0.0976442, -69.1175
row2_2, 2.46525, -68.2062, -68.4977
row2_3, -68.1673, 1.95543, -67.8752
row2_4, -1507.54, 0.156671, -67.2498
#row2_5, -3.09436, 15.655, 13.9654
row2_6, 15.8478, 18.2916, 17.1536
row2_7, 18.434, 20.3897, 19.4501
row3_0, 20.9463, 22.6021, 21.7954
row3_1, 22.7069, 24.2094, 23.4732
row3_2, 24.3054, 25.6954, 25.0119
row3_3, 25.7849, 27.0869, 26.4451
row3_4, 27.1712, 28.4024, 27.7944
row3_5, 28.4824, 29.6545, 29.0748
row3_6, 29.7309, 30.8529, 30.2973
row3_7, 30.9261, 32.0047, 31.4701
row4_0, 32.3344, 33.3669, 32.8547
row4_1, 33.4346, 34.4345, 33.9381
row4_2, 34.5001, 35.4706, 34.9886
row4_3, 35.5345, 36.4786, 36.0095
row4_4, 36.5408, 37.4609, 37.0035
row4_5, 37.5216, 38.4199, 37.9732
row4_6, 38.4791, 39.3574, 38.9205
row4_7, 39.4152, 40.2751, 39.8472
