asic_0_0_0.Threshold:	570
asic_0_0_1.Threshold:	564
asic_0_0_2.Threshold:	604
asic_0_0_3.Threshold:	576
asic_0_0_4.Threshold:	576
asic_0_0_5.Threshold:	578
asic_0_0_6.Threshold:	592
asic_0_0_7.Threshold:	588
asic_0_0_8.Threshold:	580
asic_0_0_9.Threshold:	592
asic_0_0_10.Threshold:	596
asic_0_0_11.Threshold:	600
asic_0_0_12.Threshold:	592
asic_0_0_13.Threshold:	592
asic_0_0_14.Threshold:	584
asic_0_0_15.Threshold:	592
asic_0_0_16.Threshold:	575
asic_0_0_17.Threshold:	583
asic_0_0_18.Threshold:	439
asic_0_0_19.Threshold:	588
asic_0_0_20.Threshold:	592
asic_0_0_21.Threshold:	579
asic_0_0_22.Threshold:	592
asic_0_0_23.Threshold:	604
asic_0_0_24.Threshold:	588
asic_0_0_25.Threshold:	586
asic_0_0_26.Threshold:	588
asic_0_0_27.Threshold:	592
asic_0_0_28.Threshold:	570
asic_0_0_29.Threshold:	592
asic_0_0_30.Threshold:	584
asic_0_0_31.Threshold:	580
asic_0_0_32.Threshold:	596
asic_0_0_33.Threshold:	583
asic_0_0_34.Threshold:	584
asic_0_0_35.Threshold:	580
asic_0_0_36.Threshold:	584
asic_0_0_37.Threshold:	591
asic_0_0_38.Threshold:	586
asic_0_0_39.Threshold:	580
asic_0_0_40.Threshold:	576
asic_0_0_41.Threshold:	596
asic_0_0_42.Threshold:	461
asic_0_0_43.Threshold:	588
asic_0_0_44.Threshold:	588
asic_0_0_45.Threshold:	594
asic_0_0_46.Threshold:	588
asic_0_0_47.Threshold:	586
asic_0_0_48.Threshold:	583
asic_0_0_49.Threshold:	579
asic_0_0_50.Threshold:	567
asic_0_0_51.Threshold:	600
asic_0_0_52.Threshold:	592
asic_0_0_53.Threshold:	592
asic_0_0_54.Threshold:	448
asic_0_0_55.Threshold:	588
asic_0_0_56.Threshold:	572
asic_0_0_57.Threshold:	604
asic_0_0_58.Threshold:	359
asic_0_0_59.Threshold:	586
asic_0_0_60.Threshold:	596
asic_0_0_61.Threshold:	586
asic_0_0_62.Threshold:	578
asic_0_0_63.Threshold:	596
asic_0_0_64.Threshold:	582
asic_0_0_65.Threshold:	588
asic_0_0_66.Threshold:	575
asic_0_0_67.Threshold:	583
asic_0_0_68.Threshold:	579
asic_0_0_69.Threshold:	582
asic_0_0_70.Threshold:	574
asic_0_0_71.Threshold:	608
asic_0_0_72.Threshold:	459
asic_0_0_73.Threshold:	596
asic_0_0_74.Threshold:	580
asic_0_0_75.Threshold:	588
asic_0_0_76.Threshold:	592
asic_0_0_77.Threshold:	566
asic_0_0_78.Threshold:	599
asic_0_0_79.Threshold:	571
asic_0_0_80.Threshold:	584
asic_0_0_81.Threshold:	577
asic_0_0_82.Threshold:	594
asic_0_0_83.Threshold:	575
asic_0_0_84.Threshold:	580
asic_0_0_85.Threshold:	592
asic_0_0_86.Threshold:	579
asic_0_0_87.Threshold:	584
asic_0_0_88.Threshold:	588
asic_0_0_89.Threshold:	596
asic_0_0_90.Threshold:	596
asic_0_0_91.Threshold:	595
asic_0_0_92.Threshold:	574
asic_0_0_93.Threshold:	600
asic_0_0_94.Threshold:	571
asic_0_0_95.Threshold:	592
asic_0_0_96.Threshold:	578
asic_0_0_97.Threshold:	596
asic_0_0_98.Threshold:	582
asic_0_0_99.Threshold:	582
asic_0_0_100.Threshold:	602
asic_0_0_101.Threshold:	602
asic_0_0_102.Threshold:	592
asic_0_0_103.Threshold:	588
asic_0_0_104.Threshold:	592
asic_0_0_105.Threshold:	588
asic_0_0_106.Threshold:	582
asic_0_0_107.Threshold:	584
asic_0_0_108.Threshold:	588
asic_0_0_109.Threshold:	580
asic_0_0_110.Threshold:	574
asic_0_0_111.Threshold:	584
asic_0_0_112.Threshold:	580
asic_0_0_113.Threshold:	574
asic_0_0_114.Threshold:	575
asic_0_0_115.Threshold:	564
asic_0_0_116.Threshold:	596
asic_0_0_117.Threshold:	580
asic_0_0_118.Threshold:	572
asic_0_0_119.Threshold:	573
asic_0_0_120.Threshold:	584
asic_0_0_121.Threshold:	574
asic_0_0_122.Threshold:	592
asic_0_0_123.Threshold:	579
asic_0_0_124.Threshold:	588
asic_0_0_125.Threshold:	592
asic_0_0_126.Threshold:	564
asic_0_0_127.Threshold:	605
asic_0_1_11.Threshold:	565
asic_0_1_12.Threshold:	569
asic_0_1_13.Threshold:	435
asic_0_1_14.Threshold:	573
asic_0_1_15.Threshold:	573
asic_0_1_16.Threshold:	581
asic_0_1_17.Threshold:	581
asic_0_1_18.Threshold:	451
asic_0_1_19.Threshold:	441
asic_0_1_20.Threshold:	581
asic_0_1_21.Threshold:	437
asic_0_1_28.Threshold:	440
asic_0_1_29.Threshold:	585
asic_0_1_30.Threshold:	435
asic_0_1_31.Threshold:	561
asic_0_1_32.Threshold:	585
asic_0_1_33.Threshold:	577
asic_0_1_34.Threshold:	573
asic_0_1_35.Threshold:	569
asic_0_1_36.Threshold:	573
asic_0_1_37.Threshold:	565
asic_0_1_38.Threshold:	585
asic_0_1_89.Threshold:	581
asic_0_1_90.Threshold:	585
asic_0_1_91.Threshold:	569
asic_0_1_92.Threshold:	437
asic_0_1_93.Threshold:	569
asic_0_1_94.Threshold:	557
asic_0_1_95.Threshold:	577
