asic_0_0_2.Gain_pdiff: 0
asic_0_0_2.GainQuadr_pdiff: -nan
asic_0_0_2.Offset_pdiff: -2.45797
asic_0_0_20.Gain_pdiff: 0
asic_0_0_20.GainQuadr_pdiff: -nan
asic_0_0_20.Offset_pdiff: -0.3451
asic_0_0_21.Gain_pdiff: 0
asic_0_0_21.GainQuadr_pdiff: -nan
asic_0_0_21.Offset_pdiff: -0.245231
asic_0_0_22.Gain_pdiff: 0
asic_0_0_22.GainQuadr_pdiff: -nan
asic_0_0_22.Offset_pdiff: -0.119876
asic_0_0_23.Gain_pdiff: 0
asic_0_0_23.GainQuadr_pdiff: -nan
asic_0_0_23.Offset_pdiff: -0.117409
asic_0_0_24.Gain_pdiff: 0
asic_0_0_24.GainQuadr_pdiff: -nan
asic_0_0_24.Offset_pdiff: -0
asic_0_0_25.Gain_pdiff: 0
asic_0_0_25.GainQuadr_pdiff: -nan
asic_0_0_25.Offset_pdiff: -0.0497031
asic_0_0_26.Gain_pdiff: 0
asic_0_0_26.GainQuadr_pdiff: -nan
asic_0_0_26.Offset_pdiff: -0.122702
asic_0_0_27.Gain_pdiff: 0
asic_0_0_27.GainQuadr_pdiff: -nan
asic_0_0_27.Offset_pdiff: -0.0735017
asic_0_0_28.Gain_pdiff: 0
asic_0_0_28.GainQuadr_pdiff: -nan
asic_0_0_28.Offset_pdiff: -0.55283
asic_0_0_29.Gain_pdiff: 0
asic_0_0_29.GainQuadr_pdiff: -nan
asic_0_0_29.Offset_pdiff: -0.290132
asic_0_0_3.Gain_pdiff: 0
asic_0_0_3.GainQuadr_pdiff: -nan
asic_0_0_3.Offset_pdiff: -2.62459
asic_0_0_30.Gain_pdiff: 0
asic_0_0_30.GainQuadr_pdiff: -nan
asic_0_0_30.Offset_pdiff: -0.10072
asic_0_0_31.Gain_pdiff: 0
asic_0_0_31.GainQuadr_pdiff: -nan
asic_0_0_31.Offset_pdiff: -0
asic_0_0_32.Gain_pdiff: 0
asic_0_0_32.GainQuadr_pdiff: -nan
asic_0_0_32.Offset_pdiff: -0.145757
asic_0_0_33.Gain_pdiff: 0
asic_0_0_33.GainQuadr_pdiff: -nan
asic_0_0_33.Offset_pdiff: -0.252895
asic_0_0_34.Gain_pdiff: 0
asic_0_0_34.GainQuadr_pdiff: -nan
asic_0_0_34.Offset_pdiff: -0.527404
asic_0_0_35.Gain_pdiff: 0
asic_0_0_35.GainQuadr_pdiff: -nan
asic_0_0_35.Offset_pdiff: -0
asic_0_0_36.Gain_pdiff: 0
asic_0_0_36.GainQuadr_pdiff: -nan
asic_0_0_36.Offset_pdiff: -0.0997286
asic_0_0_37.Gain_pdiff: 0
asic_0_0_37.GainQuadr_pdiff: -nan
asic_0_0_37.Offset_pdiff: -0.366656
asic_0_0_38.Gain_pdiff: 0
asic_0_0_38.GainQuadr_pdiff: -nan
asic_0_0_38.Offset_pdiff: -0.0258082
asic_0_0_39.Gain_pdiff: 0
asic_0_0_39.GainQuadr_pdiff: -nan
asic_0_0_39.Offset_pdiff: -0
asic_0_0_4.Gain_pdiff: 0
asic_0_0_4.GainQuadr_pdiff: -nan
asic_0_0_4.Offset_pdiff: -2.25667
asic_0_0_40.Gain_pdiff: 0
asic_0_0_40.GainQuadr_pdiff: -nan
asic_0_0_40.Offset_pdiff: -0.172206
asic_0_0_41.Gain_pdiff: 0
asic_0_0_41.GainQuadr_pdiff: -nan
asic_0_0_41.Offset_pdiff: -0.496609
asic_0_0_42.Gain_pdiff: 0
asic_0_0_42.GainQuadr_pdiff: -nan
asic_0_0_42.Offset_pdiff: -0.426626
asic_0_0_43.Gain_pdiff: 0
asic_0_0_43.GainQuadr_pdiff: -nan
asic_0_0_43.Offset_pdiff: -0.344175
asic_0_0_44.Gain_pdiff: 0
asic_0_0_44.GainQuadr_pdiff: -nan
asic_0_0_44.Offset_pdiff: -0.441714
asic_0_0_45.Gain_pdiff: 0
asic_0_0_45.GainQuadr_pdiff: -nan
asic_0_0_45.Offset_pdiff: -0.072481
asic_0_0_46.Gain_pdiff: 0
asic_0_0_46.GainQuadr_pdiff: -nan
asic_0_0_46.Offset_pdiff: -0.494388
asic_0_0_47.Gain_pdiff: 0
asic_0_0_47.GainQuadr_pdiff: -nan
asic_0_0_47.Offset_pdiff: -0.641013
asic_0_0_48.Gain_pdiff: 0
asic_0_0_48.GainQuadr_pdiff: -nan
asic_0_0_48.Offset_pdiff: -0.559515
asic_0_0_49.Gain_pdiff: 0
asic_0_0_49.GainQuadr_pdiff: -nan
asic_0_0_49.Offset_pdiff: -0.789744
asic_0_0_5.Gain_pdiff: 0
asic_0_0_5.GainQuadr_pdiff: -nan
asic_0_0_5.Offset_pdiff: -1.86093
asic_0_0_50.Gain_pdiff: 0
asic_0_0_50.GainQuadr_pdiff: -nan
asic_0_0_50.Offset_pdiff: -0.937406
asic_0_0_51.Gain_pdiff: 0
asic_0_0_51.GainQuadr_pdiff: -nan
asic_0_0_51.Offset_pdiff: -0.538247
asic_0_0_52.Gain_pdiff: 0
asic_0_0_52.GainQuadr_pdiff: -nan
asic_0_0_52.Offset_pdiff: -0.268822
asic_0_0_53.Gain_pdiff: 0
asic_0_0_53.GainQuadr_pdiff: -nan
asic_0_0_53.Offset_pdiff: -0.0725365
asic_0_0_54.Gain_pdiff: 0
asic_0_0_54.GainQuadr_pdiff: -nan
asic_0_0_54.Offset_pdiff: -0.80827
asic_0_0_55.Gain_pdiff: 0
asic_0_0_55.GainQuadr_pdiff: -nan
asic_0_0_55.Offset_pdiff: -0.667241
asic_0_0_56.Gain_pdiff: 0
asic_0_0_56.GainQuadr_pdiff: -nan
asic_0_0_56.Offset_pdiff: -0.756636
asic_0_0_57.Gain_pdiff: 0
asic_0_0_57.GainQuadr_pdiff: -nan
asic_0_0_57.Offset_pdiff: -0.32586
asic_0_0_58.Gain_pdiff: 0
asic_0_0_58.GainQuadr_pdiff: -nan
asic_0_0_58.Offset_pdiff: -2.23846
asic_0_0_59.Gain_pdiff: 0
asic_0_0_59.GainQuadr_pdiff: -nan
asic_0_0_59.Offset_pdiff: -0.566925
asic_0_0_6.Gain_pdiff: 0
asic_0_0_6.GainQuadr_pdiff: -nan
asic_0_0_6.Offset_pdiff: -1.24138
asic_0_0_60.Gain_pdiff: 0
asic_0_0_60.GainQuadr_pdiff: -nan
asic_0_0_60.Offset_pdiff: -0.64582
asic_0_0_61.Gain_pdiff: 0
asic_0_0_61.GainQuadr_pdiff: -nan
asic_0_0_61.Offset_pdiff: -0.737485
asic_0_0_62.Gain_pdiff: 0
asic_0_0_62.GainQuadr_pdiff: -nan
asic_0_0_62.Offset_pdiff: -0.897637
asic_0_0_63.Gain_pdiff: 0
asic_0_0_63.GainQuadr_pdiff: -nan
asic_0_0_63.Offset_pdiff: -0.639644
asic_0_0_64.Gain_pdiff: 0
asic_0_0_64.GainQuadr_pdiff: -nan
asic_0_0_64.Offset_pdiff: -0.386126
asic_0_0_65.Gain_pdiff: 0
asic_0_0_65.GainQuadr_pdiff: -nan
asic_0_0_65.Offset_pdiff: -0.487404
asic_0_0_66.Gain_pdiff: 0
asic_0_0_66.GainQuadr_pdiff: -nan
asic_0_0_66.Offset_pdiff: -0.569144
asic_0_0_67.Gain_pdiff: 0
asic_0_0_67.GainQuadr_pdiff: -nan
asic_0_0_67.Offset_pdiff: -0.262364
asic_0_0_68.Gain_pdiff: 0
asic_0_0_68.GainQuadr_pdiff: -nan
asic_0_0_68.Offset_pdiff: -0.536176
asic_0_0_69.Gain_pdiff: 0
asic_0_0_69.GainQuadr_pdiff: -nan
asic_0_0_69.Offset_pdiff: -0.731574
asic_0_0_7.Gain_pdiff: 0
asic_0_0_7.GainQuadr_pdiff: -nan
asic_0_0_7.Offset_pdiff: -1.56207
asic_0_0_70.Gain_pdiff: 0
asic_0_0_70.GainQuadr_pdiff: -nan
asic_0_0_70.Offset_pdiff: -0.74427
asic_0_0_71.Gain_pdiff: 0
asic_0_0_71.GainQuadr_pdiff: -nan
asic_0_0_71.Offset_pdiff: -0.645197
asic_0_0_72.Gain_pdiff: 0
asic_0_0_72.GainQuadr_pdiff: -nan
asic_0_0_72.Offset_pdiff: -0.521123
asic_0_0_73.Gain_pdiff: 0
asic_0_0_73.GainQuadr_pdiff: -nan
asic_0_0_73.Offset_pdiff: -0.308701
asic_0_0_74.Gain_pdiff: 0
asic_0_0_74.GainQuadr_pdiff: -nan
asic_0_0_74.Offset_pdiff: -0.375716
asic_0_0_75.Gain_pdiff: 0
asic_0_0_75.GainQuadr_pdiff: -nan
asic_0_0_75.Offset_pdiff: -0.790991
asic_0_0_76.Gain_pdiff: 0
asic_0_0_76.GainQuadr_pdiff: -nan
asic_0_0_76.Offset_pdiff: -0.670608
asic_0_0_77.Gain_pdiff: 0
asic_0_0_77.GainQuadr_pdiff: -nan
asic_0_0_77.Offset_pdiff: -2.53645
asic_0_0_78.Gain_pdiff: 0
asic_0_0_78.GainQuadr_pdiff: -nan
asic_0_0_78.Offset_pdiff: -1.15324
asic_0_0_79.Gain_pdiff: 0
asic_0_0_79.GainQuadr_pdiff: -nan
asic_0_0_79.Offset_pdiff: -0.423278
asic_0_0_8.Gain_pdiff: 0
asic_0_0_8.GainQuadr_pdiff: -nan
asic_0_0_8.Offset_pdiff: -1.32231
asic_0_0_80.Gain_pdiff: 0
asic_0_0_80.GainQuadr_pdiff: -nan
asic_0_0_80.Offset_pdiff: -0.948383
asic_0_0_81.Gain_pdiff: 0
asic_0_0_81.GainQuadr_pdiff: -nan
asic_0_0_81.Offset_pdiff: -0.656928
asic_0_0_82.Gain_pdiff: 0
asic_0_0_82.GainQuadr_pdiff: -nan
asic_0_0_82.Offset_pdiff: -0.763023
asic_0_0_83.Gain_pdiff: 0
asic_0_0_83.GainQuadr_pdiff: -nan
asic_0_0_83.Offset_pdiff: -0.765577
asic_0_0_84.Gain_pdiff: 0
asic_0_0_84.GainQuadr_pdiff: -nan
asic_0_0_84.Offset_pdiff: -0.628866
asic_0_0_85.Gain_pdiff: 0
asic_0_0_85.GainQuadr_pdiff: -nan
asic_0_0_85.Offset_pdiff: -0.598471
asic_0_0_86.Gain_pdiff: 0
asic_0_0_86.GainQuadr_pdiff: -nan
asic_0_0_86.Offset_pdiff: -0.906624
asic_0_0_87.Gain_pdiff: 0
asic_0_0_87.GainQuadr_pdiff: -nan
asic_0_0_87.Offset_pdiff: -0.700629
asic_0_0_88.Gain_pdiff: 0
asic_0_0_88.GainQuadr_pdiff: -nan
asic_0_0_88.Offset_pdiff: -0.539349
asic_0_0_89.Gain_pdiff: 0
asic_0_0_89.GainQuadr_pdiff: -nan
asic_0_0_89.Offset_pdiff: -0.500876
asic_0_0_9.Gain_pdiff: 0
asic_0_0_9.GainQuadr_pdiff: -nan
asic_0_0_9.Offset_pdiff: -1.13713
asic_0_0_90.Gain_pdiff: 0
asic_0_0_90.GainQuadr_pdiff: -nan
asic_0_0_90.Offset_pdiff: -0.545149
asic_0_0_91.Gain_pdiff: 0
asic_0_0_91.GainQuadr_pdiff: -nan
asic_0_0_91.Offset_pdiff: -0.608282
asic_0_0_92.Gain_pdiff: 0
asic_0_0_92.GainQuadr_pdiff: -nan
asic_0_0_92.Offset_pdiff: -0.761731
asic_0_0_93.Gain_pdiff: 0
asic_0_0_93.GainQuadr_pdiff: -nan
asic_0_0_93.Offset_pdiff: -0.893797
asic_0_0_94.Gain_pdiff: 0
asic_0_0_94.GainQuadr_pdiff: -nan
asic_0_0_94.Offset_pdiff: -0.656216
asic_0_0_95.Gain_pdiff: 0
asic_0_0_95.GainQuadr_pdiff: -nan
asic_0_0_95.Offset_pdiff: -0.554345
asic_0_0_96.Gain_pdiff: 0
asic_0_0_96.GainQuadr_pdiff: -nan
asic_0_0_96.Offset_pdiff: -0.776454
asic_0_0_97.Gain_pdiff: 0
