projection,pos,vol,width
row1_0,-117(5),167(18),117(12)
row1_1,-48(6),120(13),121(12)
row1_2,-44(6),133(14),136(12)
row2_0,-44(4),304(19),146(8)
row2_1,-37.3(3.5),301(18),130(7)
row2_2,-24(5),291(19),156(9)
row2_3,-24(4),271(18),135(7)
row3_0,-65(5),226(16),138(9)
row3_1,-66(5),190(15),128(9)
row3_2,-56(6),174(15),161(14)
row3_3,-50(6),168(15),139(12)
row4_0,-75(9),117(14),185(24)
row4_1,-68(9),132(15),186(20)
row4_2,-40(14),84(12),201(33)
row4_3,-69(15),59(11),156(35)
