projection, Total, On, Eff
row1_0, 48, 48, 1
row1_1, 48, 48, 1
row1_2, 48, 48, 1
row2_0, 96, 96, 1
row2_1, 96, 96, 1
row2_2, 96, 96, 1
row2_3, 96, 96, 1
row3_0, 96, 96, 1
row3_1, 96, 96, 1
row3_2, 96, 95, 0.989583
row3_3, 96, 96, 1
row4_0, 96, 96, 1
row4_1, 96, 95, 0.989583
row4_2, 96, 96, 1
row4_3, 96, 95, 0.989583
