projection,pos,vol,width
#row2_1,4022(5),1270(70),184(7)
row2_2,3985.0(2.1),1470(50),140(4)
row2_3,3976.8(2.4),1110(40),126(4)
row2_4,3971.0(2.1),1070(40),126(4)
row2_5,3970.2(2.7),960(40),136(6)
row2_6,3965.5(2.4),806(33),120(5)
row2_7,3971.7(3.0),656(31),129(7)
row3_0,3973(4),603(35),144(10)
row3_1,3975.9(3.1),467(27),113(6)
row3_2,3963(4),384(26),110(8)
row3_3,3961(5),389(28),144(13)
row3_4,3972(6),336(27),138(12)
row3_5,3941(8),334(30),182(21)
row3_6,3953(7),326(29),155(17)
row3_7,3915(10),271(33),174(28)
