projection,pos,vol,width
#row1_0,972.8(1.9),1490(40),145(4)
row1_1,971.4(3.2),412(22),133(7)
row1_2,991(5),179(16),116(9)
row1_3,985(6),148(15),114(12)
row1_4,1017(6),168(16),138(14)
row1_5,1009(5),282(19),154(11)
row1_6,1028(4),384(21),140(7)
row1_7,1012(4),376(21),145(9)
row2_0,1011.0(3.1),462(23),137(5)
row2_1,1016.8(3.1),485(24),136(6)
row2_2,1017(4),430(23),139(7)
row2_3,1022.1(3.4),454(24),133(7)
row2_5,1014(5),510(29),178(13)
row2_6,1011(4),412(27),134(9)
row2_7,1014(5),342(26),132(10)
row3_0,996(5),351(26),130(9)
row3_1,985(7),302(28),145(14)
row3_2,988(12),163(26),145(25)
row3_3,963(7),247(24),135(13)
row3_4,990(12),144(22),150(24)
row3_5,957(10),159(21),148(23)
row3_6,969(18),138(24),2.1(4)e+02
